SKU,Product Name,Current FSN,Suggested FSN
"OFF_29","Acrobat DC Pro 2024 PDF Reader & Editor (New) PremiuMSoftware (for Win OR MacOS) | (Pre-Activated) Advanced PDF Tools: Edit, Convert, Sign, Secure | Offline Use | Lifetime Validity | Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_28","Acrobat Pro 2024 Full Version Software for Windows | (Pre-Activated) Advanced PDF Tools: Edit, Convert, Sign, Secure | Offline Use | Included | Lifetime Access | Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_22","AutoCAD (Latest 2026 Edition with Ai) 3-Years Subscription NEW 100% Genuine (3 Users/ 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2, M3, M4) (INCLUDES 24+ Specialized Toolsets, architecture, engineering, Agriculture & more) (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_24","AutoCAD Software 1-Year Subscription (1 User, 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2) (All Original versions Included) (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_23","AutoCAD Software 3-Year Subscription (1 User, 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2) (All Original versions Included) (Quick Delivery) Guaranteed Support","NOT SET","MAYA-1YEAR"
"OFF_18","Canva Pro Lifetime Subscription (1 User) | Activates on Your Account | Genuine License with All AI Tools Included | Magic Studio + Visual Suite 2.0, Canva Code, Canva Sheets ,Magic Charts, AI Image Generation | Multi-Device Support with Cloud Storage (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_27","Canva Pro Lifetime Subscription (1 User) | Activates on Your Canva Account | Genuine License with All AI Tools Included | Magic Studio + Visual Suite 2.0, Canva Code, Canva Sheets ,Magic Charts, AI Image Generation | Multi-Device Support with Cloud Storage (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_26","Gemini Pro Advanced 2.5 (Latest Release) | 15-Month Subscription with Veo 3 Video Generator Access | 2TB Cloud Storage & Gemini 2.5 | GenAI Assistant for Windows/Mac/Mobile/Tablet | Unlimited Deep Research","NOT SET","MAYA-1YEAR"
"OFF_32","Microsoft 365 Enterprise Edition with Copilot Ai | New 2026 Launch | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 5TB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_31","Microsoft 365 Pro Plus with Copilot AI | Latest Release | (upto 5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 100GB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_19","Microsoft Home 2024 for macOS – New 2025 Edition | Lifetime License | 1 User | Supports M1, M2, M3, M4 Mac Versions | Pre-Activated | Unlimited Reinstalls & Lifetime Updates","NOT SET","MAYA-1YEAR"
"OFF_20","Microsoft Home Suite 2024 for macOS – Latest 2025 Exclusive Edition | Lifetime License | 1 User | Supports M1, M2, M3, M4 Macs | Pre-Activated | Unlimited Reinstalls & Lifetime Updates (Quick Delivery)","NOT SET","MAYA-1YEAR"
